"roi_num","hemi","network","subregion"
1,"L","DefaultA","IPL1"
2,"L","DefaultA","PFCm1"
3,"L","DefaultA","Temp1"
4,"L","DefaultA","Temp2"
5,"L","DefaultA","TempPole1"
6,"L","DefaultA","TempPole2"
7,"L","DefaultA","pCunPCC1"
8,"L","DefaultB","FPole1"
9,"L","DefaultB","IPL1"
10,"L","DefaultB","IPL2"
11,"L","DefaultB","PFCd1"
12,"L","DefaultB","PFCd2"
13,"L","DefaultB","PFCd3"
14,"L","DefaultB","PFCl1"
15,"L","DefaultB","PFCv1"
16,"L","DefaultB","TempPole1"
17,"L","DefaultC","IPL1"
18,"L","DefaultC","PFCd1"
19,"L","DefaultC","PHC1"
20,"L","DefaultC","RSC1"
21,"L","DefaultC","pCun1"
22,"L","Language","IFG1"
23,"L","Language","IFG2"
24,"L","Language","PFCl1"
25,"L","Language","Temp1"
26,"L","ContA","Cingm1"
27,"L","ContA","IPS1"
28,"L","ContA","IPS2"
29,"L","ContA","PFCl1"
30,"L","ContA","PFCl2"
31,"L","ContA","Temp1"
32,"L","ContB","IPL1"
33,"L","ContB","IPS1"
34,"L","ContB","OFC1"
35,"L","ContB","OFC2"
36,"L","ContB","PCC1"
37,"L","ContB","PFCmp1"
38,"L","ContB","Temp1"
39,"L","ContC","Cingp1"
40,"L","ContC","FPole1"
41,"L","ContC","PFCm1"
42,"L","ContC","PFCm2"
43,"L","ContC","PHC1"
44,"L","ContC","pCun1"
45,"L","SalVenAttnA","FrMed1"
46,"L","SalVenAttnA","FrMed2"
47,"L","SalVenAttnA","Ins1"
48,"L","SalVenAttnA","Ins2"
49,"L","SalVenAttnA","SPL1"
50,"L","SalVenAttnB","IFG1"
51,"L","SalVenAttnB","IPL1"
52,"L","SalVenAttnB","Ins1"
53,"L","SalVenAttnB","OFC1"
54,"L","SalVenAttnB","OFC2"
55,"L","SalVenAttnB","PFCl1"
56,"L","DorsAttnA","IPL1"
57,"L","DorsAttnA","IPL2"
58,"L","DorsAttnA","IPS1"
59,"L","DorsAttnA","PFCd1"
60,"L","DorsAttnA","PrCv1"
61,"L","DorsAttnA","SPL1"
62,"L","DorsAttnA","SPL2"
63,"L","DorsAttnA","TempOcc1"
64,"L","DorsAttnA","TempOcc2"
65,"L","DorsAttnA","TempPole1"
66,"L","DorsAttnB","PostC1"
67,"L","DorsAttnB","PrCd1"
68,"L","DorsAttnB","SPL1"
69,"L","DorsAttnB","SPL2"
70,"L","Aud","ST1"
71,"L","Aud","ST2"
72,"L","Aud","ST3"
73,"L","Aud","ST4"
74,"L","SomMotA","ParOper1"
75,"L","SomMotA","1"
76,"L","SomMotA","2"
77,"L","SomMotA","3"
78,"L","SomMotA","4"
79,"L","SomMotA","5"
80,"L","SomMotA","6"
81,"L","SomMotB","Ins1"
82,"L","SomMotB","1"
83,"L","SomMotB","2"
84,"L","SomMotB","3"
85,"L","SomMotB","4"
86,"L","VisualA","ExStr1"
87,"L","VisualA","ExStr2"
88,"L","VisualA","ExStr3"
89,"L","VisualA","ExStr4"
90,"L","VisualA","ExStr5"
91,"L","VisualA","PrC1"
92,"L","VisualA","SPL1"
93,"L","VisualB","ExStrInf1"
94,"L","VisualB","ExStrInf2"
95,"L","VisualB","ExStrSup1"
96,"L","VisualB","ExStrSup2"
97,"L","VisualB","Striate1"
98,"L","VisualC","ExStr1"
99,"L","VisualC","ExStr2"
100,"L","VisualC","Striate1"
101,"R","DefaultA","IPL1"
102,"R","DefaultA","PFCd1"
103,"R","DefaultA","PFCd2"
104,"R","DefaultA","PFCm1"
105,"R","DefaultA","Temp1"
106,"R","DefaultA","TempPole1"
107,"R","DefaultA","pCunPCC1"
108,"R","DefaultB","FPole2"
109,"R","DefaultB","OFC1"
110,"R","DefaultB","PFCd1"
111,"R","DefaultB","PFCd2"
112,"R","DefaultB","Temp1"
113,"R","DefaultB","TempPole1"
114,"R","DefaultC","IPL1"
115,"R","DefaultC","PHC1"
116,"R","DefaultC","RSC1"
117,"R","DefaultC","pCun1"
118,"R","Language","IFG1"
119,"R","Language","PFCmp1"
120,"R","Language","Temp1"
121,"R","Language","Temp2"
122,"R","ContA","Cingm1"
123,"R","ContA","IPS1"
124,"R","ContA","IPS2"
125,"R","ContA","IPS3"
126,"R","ContA","PFCd1"
127,"R","ContA","PFCl1"
128,"R","ContA","Temp1"
129,"R","ContB","FPole1"
130,"R","ContB","IPL1"
131,"R","ContB","OFC1"
132,"R","ContB","PFCl1"
133,"R","ContB","Temp1"
134,"R","ContC","Cingp1"
135,"R","ContC","Ins1"
136,"R","ContC","OFC1"
137,"R","ContC","PFCl1"
138,"R","ContC","PFCl2"
139,"R","ContC","PFCm1"
140,"R","ContC","PFCm2"
141,"R","ContC","PFCm3"
142,"R","ContC","pCun1"
143,"R","SalVenAttnA","FrMed1"
144,"R","SalVenAttnA","FrMed2"
145,"R","SalVenAttnA","FrOper1"
146,"R","SalVenAttnA","IPL1"
147,"R","SalVenAttnA","Ins1"
148,"R","SalVenAttnA","Ins2"
149,"R","SalVenAttnA","SPL1"
150,"R","SalVenAttnB","IPL1"
151,"R","SalVenAttnB","Ins1"
152,"R","SalVenAttnB","PFCl1"
153,"R","SalVenAttnB","PFCl2"
