"roi_num","spatial_roi_num","x","y","z","MNI_Glasser_HCP_v1.0","Brainnetome_1.0","CA_ML_18_MNI"
67,1,-60,-44,-13,"Focus point:  L_Area_TE1_posterior","Focus point:  A20cl_left","Focus point:  Left Inferior Temporal Gyrus"
40,2,-60,-26,28,"Focus point:  L_Area_PF_opercular","Focus point:  A40rv_left","Focus point:  Left SupraMarginal Gyrus"
84,3,-60,-21,-21,"Focus point:  L_Area_TE1_Middle","Focus point:  A20il_left","Focus point:  Left Middle Temporal Gyrus"
47,4,-59,-40,37,"Focus point:  L_Area_PF_Complex","Focus point:  A40c_left","Focus point:  Left SupraMarginal Gyrus"
99,5,-58,-43,8,"Focus point:  L_Area_TemporoParietoOccipital_Junction_1","Focus point:  rpSTS_left","Focus point:  Left Middle Temporal Gyrus"
86,6,-57,-33,-3,"Focus point:  L_Area_STSv_posterior","Focus point:  aSTS_left","Focus point:  Left Middle Temporal Gyrus"
87,7,-56,-55,28,"Focus point:  L_Area_PFm_Complex","Focus point:  A39rv_left","Focus point:  Left Angular Gyrus"
25,8,-56,-41,21,"Focus point:  L_PeriSylvian_Language_Area","Focus point:  A41/42_left","Focus point:  Left Superior Temporal Gyrus"
27,9,-56,-9,30,"Focus point:  L_Primary_Sensory_Cortex","Focus point:  A1/2/3ulhf_left","Focus point:  Left Postcentral Gyrus"
85,10,-56,-8,-12,"Focus point:  L_Area_STSd_anterior","Focus point:  aSTS_left","Focus point:  Left Middle Temporal Gyrus"
57,11,-55,-61,-2,"Focus point:  L_Area_PHT","Focus point:  A37vl_left","Focus point:  Left Middle Temporal Gyrus"
24,12,-54,-5,10,"Focus point:  L_Area_43","Focus point:  A4tl_left","Focus point:  Left Rolandic Operculum"
22,13,-53,-25,9,"Focus point:  L_ParaBelt_Complex","Focus point:  TE1.0_1.2_left","Focus point:  Left Superior Temporal Gyrus"
35,14,-52,-26,40,"Focus point:  L_Area_2","Focus point:  A2_left","Focus point:  Left Inferior Parietal Lobule"
26,15,-52,-23,19,"Focus point:  L_Area_OP1/SII","Focus point:  A40rv_left","Focus point:  Left SupraMarginal Gyrus"
68,16,-51,-52,45,"* Within 1 mm: L_Area_PFm_Complex","Focus point:  A40c_left","Focus point:  Left Inferior Parietal Lobule"
21,17,-51,-5,-2,"Focus point:  L_Area_TA2","Focus point:  TE1.0_1.2_left","Focus point:  Left Superior Temporal Gyrus"
95,18,-51,24,8,"Focus point:  L_Area_45","Focus point:  A45c_left","Focus point:  Left Inferior Frontal Gyrus (p. Triangularis)"
43,19,-50,10,10,"Focus point:  L_Rostral_Area_6","Focus point:  A44v_left","Focus point:  Left Inferior Frontal Gyrus (p. Opercularis)"
100,20,-48,-58,16,"Focus point:  L_Area_TemporoParietoOccipital_Junction_2","Focus point:  A39rv_left","Focus point:  Left Middle Temporal Gyrus"
14,21,-47,-29,55,"* Within 1 mm: L_Area_2","Focus point:  A2_left","Focus point:  Left Postcentral Gyrus"
64,22,-47,5,28,"Focus point:  L_Rostral_Area_6","Focus point:  A6cvl_left","Focus point:  Left Inferior Frontal Gyrus (p. Opercularis)"
83,23,-47,8,-31,"Focus point:  L_Area_TG_dorsal","Focus point:  A21r_left","Focus point:  Left Medial Temporal Pole"
31,24,-46,-71,8,"Focus point:  L_Medial_Superior_Temporal_Area","Focus point:  V5/MT+_left","Focus point:  Left Middle Occipital Gyrus"
54,25,-46,-20,-29,"Focus point:  L_Area_TF","Focus point:  A20iv_left","Focus point:  Left Inferior Temporal Gyrus"
28,26,-46,-9,46,"* Within 1 mm: L_Frontal_Eye_Fields","* Within 1 mm: A4hf_left","Focus point:  Left Postcentral Gyrus"
94,27,-46,32,-6,"Focus point:  L_Area_47l_(47_lateral)","Focus point:  A45r_left","Focus point:  Left Inferior Frontal Gyrus (p. Orbitalis)"
75,28,-45,-66,36,"* Within 1 mm: L_Area_PGi","Focus point:  A39rv_left","Focus point:  Left Angular Gyrus"
59,29,-45,-43,47,"Focus point:  L_Anterior_IntraParietal_Area","Focus point:  A40rd_left","Focus point:  Left Inferior Parietal Lobule"
30,30,-43,-70,-9,"Focus point:  L_Area_PH","Focus point:  A37lv_left","Focus point:  Left Inferior Occipital Gyrus"
29,31,-43,-48,-19,"Focus point:  L_Fusiform_Face_Complex","Focus point:  A37lv_left","Focus point:  Left Fusiform Gyrus"
63,32,-43,21,27,"Focus point:  L_Area_8C","Focus point:  IFJ_left","Focus point:  Left Inferior Frontal Gyrus (p. Triangularis)"
56,33,-42,7,-18,"* Within 1 mm: L_Area_TG_dorsal","Focus point:  A38l_left","Focus point:  Left Temporal Pole"
65,34,-41,4,42,"Focus point:  L_Area_8C","Focus point:  IFJ_left","Focus point:  Left Precentral Gyrus"
62,35,-41,40,16,"Focus point:  L_Area_46","Focus point:  A9/46v_left","Focus point:  Left Middle Frontal Gyrus"
70,36,-41,49,-5,"Focus point:  L_Area_posterior_47r","Focus point:  A9/46v_left","Focus point:  Left Middle Orbital Gyrus"
5,37,-39,-84,8,"Focus point:  L_Area_Lateral_Occipital_1","Focus point:  mOccG_left","Focus point:  Left Middle Occipital Gyrus"
96,38,-39,-79,29,"Focus point:  L_Area_PGp","Focus point:  A39c_left","Focus point:  Left Middle Occipital Gyrus"
15,39,-39,-25,55,"Focus point:  L_Primary_Motor_Cortex","Focus point:  A4ul_left","Focus point:  Left Postcentral Gyrus"
41,40,-39,-4,-3,"Focus point:  L_Posterior_Insular_Area_2","Focus point:  dIg_left","Focus point:  Left Insula Lobe"
69,41,-39,17,47,"Focus point:  L_Area_8Av","Focus point:  A8vl_left","Focus point:  Left Middle Frontal Gyrus"
42,42,-38,1,11,"Focus point:  L_Frontal_Opercular_Area_3","Focus point:  dId_left","Focus point:  Left Insula Lobe"
36,43,-37,-36,43,"Focus point:  L_Anterior_IntraParietal_Area","Focus point:  A2_left","Focus point:  Left Postcentral Gyrus"
23,44,-37,-21,16,"Focus point:  L_Insular_Granular_Complex","Focus point:  G_left","Focus point:  Left Rolandic Operculum"
92,45,-35,21,-12,"Focus point:  L_Area_47s","Focus point:  A12/47l_left","Focus point:  Left Insula Lobe"
58,46,-34,-62,45,"Focus point:  L_Area_Lateral_IntraParietal_dorsal","Focus point:  A39rd_left","Focus point:  Left Inferior Parietal Lobule"
60,47,-33,-48,46,"Focus point:  L_Area_Lateral_IntraParietal_dorsal","Focus point:  A5l_left","Focus point:  Left Inferior Parietal Lobule"
49,48,-33,21,5,"Focus point:  L_Anterior_Ventral_Insular_Area","Focus point:  dIa_left","Focus point:  Left Insula Lobe"
39,49,-32,-5,51,"Focus point:  L_Frontal_Eye_Fields","Focus point:  A6cdl_left","Focus point:  Left Precentral Gyrus"
93,50,-32,41,-13,"Focus point:  L_Area_11l","Focus point:  A11l_left","Focus point:  Left Middle Orbital Gyrus"
