"roi_num","hemi","network","subregion"
1,"L","Vis","1"
2,"L","Vis","2"
3,"L","Vis","3"
4,"L","Vis","4"
5,"L","Vis","5"
6,"L","Vis","6"
7,"L","Vis","7"
8,"L","Vis","8"
9,"L","Vis","9"
10,"L","Vis","10"
11,"L","Vis","11"
12,"L","Vis","12"
13,"L","Vis","13"
14,"L","Vis","14"
15,"L","Vis","15"
16,"L","Vis","16"
17,"L","Vis","17"
18,"L","Vis","18"
19,"L","Vis","19"
20,"L","Vis","20"
21,"L","Vis","21"
22,"L","Vis","22"
23,"L","Vis","23"
24,"L","Vis","24"
25,"L","Vis","25"
26,"L","Vis","26"
27,"L","Vis","27"
28,"L","Vis","28"
29,"L","Vis","29"
30,"L","Vis","30"
31,"L","Vis","31"
32,"L","SomMot","1"
33,"L","SomMot","2"
34,"L","SomMot","3"
35,"L","SomMot","4"
36,"L","SomMot","5"
37,"L","SomMot","6"
38,"L","SomMot","7"
39,"L","SomMot","8"
40,"L","SomMot","9"
41,"L","SomMot","10"
42,"L","SomMot","11"
43,"L","SomMot","12"
44,"L","SomMot","13"
45,"L","SomMot","14"
46,"L","SomMot","15"
47,"L","SomMot","16"
48,"L","SomMot","17"
49,"L","SomMot","18"
50,"L","SomMot","19"
51,"L","SomMot","20"
52,"L","SomMot","21"
53,"L","SomMot","22"
54,"L","SomMot","23"
55,"L","SomMot","24"
56,"L","SomMot","25"
57,"L","SomMot","26"
58,"L","SomMot","27"
59,"L","SomMot","28"
60,"L","SomMot","29"
61,"L","SomMot","30"
62,"L","SomMot","31"
63,"L","SomMot","32"
64,"L","SomMot","33"
65,"L","SomMot","34"
66,"L","SomMot","35"
67,"L","SomMot","36"
68,"L","SomMot","37"
69,"L","DorsAttn","Post1"
70,"L","DorsAttn","Post2"
71,"L","DorsAttn","Post3"
72,"L","DorsAttn","Post4"
73,"L","DorsAttn","Post5"
74,"L","DorsAttn","Post6"
75,"L","DorsAttn","Post7"
76,"L","DorsAttn","Post8"
77,"L","DorsAttn","Post9"
78,"L","DorsAttn","Post10"
79,"L","DorsAttn","Post11"
80,"L","DorsAttn","Post12"
81,"L","DorsAttn","Post13"
82,"L","DorsAttn","Post14"
83,"L","DorsAttn","Post15"
84,"L","DorsAttn","Post16"
85,"L","DorsAttn","Post17"
86,"L","DorsAttn","FEF1"
87,"L","DorsAttn","FEF2"
88,"L","DorsAttn","FEF3"
89,"L","DorsAttn","FEF4"
90,"L","DorsAttn","PrCv1"
